CommitId;RefactoringType;RefactoringDetail
8a6bf14fc9a61f7c1c0016ca217be02ca86211d2;Rename Method;Rename Method	public switchMapToObservableEmpty(bh Blackhole) : Object renamed to public observableConvert(bh Blackhole) : Object in class io.reactivex.xmapz.ObservableSwitchMapCompletablePerf
8a6bf14fc9a61f7c1c0016ca217be02ca86211d2;Rename Method;Rename Method	public switchMapCompletableEmpty(bh Blackhole) : Object renamed to public observableDedicated(bh Blackhole) : Object in class io.reactivex.xmapz.ObservableSwitchMapCompletablePerf
8a6bf14fc9a61f7c1c0016ca217be02ca86211d2;Move Method;Move Method	public isDisposed() : boolean from class io.reactivex.internal.operators.single.SingleToObservable.SingleToObservableObserver to public isDisposed() : boolean from class io.reactivex.internal.operators.completable.CompletableToObservable.ObserverCompletableObserver
e25ab2441e13c7ec34eb6f868ea61a57846f7b6f;Rename Class;Rename Class	io.reactivex.internal.operators.maybe.MaybeToObservable.MaybeToFlowableSubscriber renamed to io.reactivex.internal.operators.maybe.MaybeToObservable.MaybeToObservableObserver
e25ab2441e13c7ec34eb6f868ea61a57846f7b6f;Extract Method;Extract Method	public create(downstream Observer<? super T>) : SingleObserver<T> extracted from public subscribeActual(s Observer<? super T>) : void in class io.reactivex.internal.operators.single.SingleToObservable
4bc516c066487818f7796b1e5cd57a3b582c832c;Rename Class;Rename Class	io.reactivex.FlowableFlatMapCompletablePerf renamed to io.reactivex.FlowableFlatMapCompletableAsyncPerf
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Move Method;Move Method	public nullOnNext() : void from class io.reactivex.subjects.SerializedSubjectTest to public nullOnNext() : void from class io.reactivex.subscribers.SerializedSubscriberTest
92812812a20db2b5b1c40d0a733ad5bfa320e7da;Move Attribute;Move Attribute	package emitted : long from class io.reactivex.internal.operators.flowable.FlowablePublishMulticast.MulticastProcessor to class io.reactivex.internal.operators.flowable.FlowablePublish.InnerSubscriber
92812812a20db2b5b1c40d0a733ad5bfa320e7da;Move Attribute;Move Attribute	package emitted : long from class io.reactivex.internal.operators.flowable.FlowablePublishMulticast.MulticastProcessor to class io.reactivex.internal.operators.flowable.FlowablePublishMulticast.MulticastSubscription
92812812a20db2b5b1c40d0a733ad5bfa320e7da;Move Attribute;Move Attribute	package emitted : long from class io.reactivex.internal.operators.flowable.FlowablePublishMulticast.MulticastProcessor to class io.reactivex.internal.operators.flowable.FlowablePublish.InnerSubscriber
