Positive	Negative	Text	Explanation
2	-2	2.x: Add fusion (perf++) to ObservableSwitchMap inner source (#5919) 	2 .[sentence: 1,-1] x[2]:Add fusion (perf ++)to ObservableSwitchMap inner source[-2](#5919 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-2	2.x: Improve the scalar source perf of Obs.(concat|switch)MapX (#5918) 	2 .[sentence: 1,-1] x[2]:Improve[2]the scalar source[-2]perf of Obs .([sentence: 2,-2] concat |switch )MapX (#5918 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: Benchmark X-Map-Z operators (#5914) 	2 .[sentence: 1,-1] x[2]:Benchmark X[2]-Map -Z operators (#5914 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: Cleanup test local variable names (#5907) * 2.x: Cleanup test local variable names * Check for Observable c 	2 .[sentence: 1,-1] x[2]:Cleanup test local variable names (#5907 )*2 .[sentence: 2,-1] x[2]:Cleanup test local variable names *Check for Observable c [sentence: 2,-1] [result: max + and - of any sentence]
2	-3	2.x: Fix publish(-|Function) subscriber swap possible data loss (#5893) 	2 .[sentence: 1,-1] x[2]:Fix publish (-|Function )subscriber swap possible data loss[-3](#5893 )[sentence: 2,-3] [result: max + and - of any sentence]
2	-2	2.x: Improve coverage & related cleanup 03/05 (#5891) * 2.x: Improve coverage & related cleanup 03/05 * Fix camelCase local variable naming errors in tests. 	2 .[sentence: 1,-1] x[2]:Improve[2]coverage &related cleanup 03 /05 (#5891 )*2 .[sentence: 2,-1] x[2]:Improve[2]coverage &related cleanup 03 /05 *Fix camelCase local variable naming errors[-2]in tests .[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: Fix Flowable.window(Publisher|Callable) upstream handling (#5888) 	2 .[sentence: 1,-1] x[2]:Fix Flowable .[sentence: 2,-1] window (Publisher |Callable )upstream handling (#5888 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: Fix window(Observable|Callable) upstream handling (#5887) 	2 .[sentence: 1,-1] x[2]:Fix window (Observable |Callable )upstream handling (#5887 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: Upgrade the algo of Observable.timeout(time|selector) operators (#5886) 	2 .[sentence: 1,-1] x[2]:Upgrade the algo of Observable .[sentence: 2,-1] timeout (time |selector )operators (#5886 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-2	2.x: Improve coverage and fix small mistakes/untaken paths in operators (#5883) 	2 .[sentence: 1,-1] x[2]:Improve[2]coverage and fix small mistakes[-2]/untaken paths in operators (#5883 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-2	2.x: Fix buffer(open, close) not disposing indicators properly (#5811) * 2.x: Fix buffer(open, close) not disposing indicators properly * Unify boundary error methods, fix cleanup, fix last buffer orders * Fix nits. 	2 .[sentence: 1,-1] x[2]:Fix buffer (open ,close )not disposing indicators properly (#5811 )*2 .[sentence: 2,-1] x[2]:Fix buffer (open ,close )not disposing indicators properly *Unify boundary error[-2]methods ,fix cleanup ,fix last buffer orders *Fix nits .[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: Subject NPE fixes, add UnicastProcessor TCK (#5760) * 2.x: add Subject/Processor refCount(), Subject NPE fixes * Fix wording * Move RefCountProcessor into tests * Improve style 	2 .[sentence: 1,-1] x[2]:Subject NPE fixes ,add UnicastProcessor TCK (#5760 )*2 .[sentence: 2,-1] x[2]:add Subject /Processor refCount (),Subject NPE fixes *Fix wording *Move RefCountProcessor into tests *Improve[2]style [sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: API to get distinct Workers from some Schedulers (#5741) 	2 .[sentence: 1,-1] x[2]:API to get distinct Workers from some Schedulers (#5741 )[sentence: 2,-1] [result: max + and - of any sentence]
1	-1	Moved tests to FromCallableTest from FromCompletableTest (#5705) 	Moved tests to FromCallableTest from FromCompletableTest (#5705 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-1	2.x: Upgrade to Gradle 4.2, remove nebula, custom rls (#5633) 	2 .[sentence: 1,-1] x[2]:Upgrade to Gradle 4 .[sentence: 2,-1] 2 ,remove nebula ,custom rls (#5633 )[sentence: 1,-1] [result: max + and - of any sentence]
2	-2	2.x: Add Single.delay overload that delays errors (#5616) 	2 .[sentence: 1,-1] x[2]:Add Single .[sentence: 2,-1] delay[-2]overload that delays errors[-2](#5616 )[sentence: 1,-2] [result: max + and - of any sentence]
2	-2	2.x: fix Obs.combineLatestDelayError sync initial error not emitting (#5560) * 2.x: fix Obs.combineLatestDelayError sync initial error not emitting * Remove unused method. 	2 .[sentence: 1,-1] x[2]:fix Obs .[sentence: 2,-1] combineLatestDelayError sync initial error[-2]not emitting (#5560 )*2 .[sentence: 1,-2] x[2]:fix Obs .[sentence: 2,-1] combineLatestDelayError sync initial error[-2]not emitting *Remove unused method .[sentence: 1,-2] [result: max + and - of any sentence]
2	-2	2.x: make withLatestFrom conditional subscriber, test cold consumption (#5495) * 2.x: make withLatestFrom conditional subscriber, test cold consumption * Cleanup internal logic, improve coverage 	2 .[sentence: 1,-1] x[2]:make withLatestFrom conditional subscriber ,test cold[-2]consumption (#5495 )*2 .[sentence: 2,-2] x[2]:make withLatestFrom conditional subscriber ,test cold[-2]consumption *Cleanup internal logic ,improve[2]coverage [sentence: 2,-2] [result: max + and - of any sentence]
2	-2	2.x: fix ReplayProcessor backpressure and NotificationLite emission bug (#5493) * 2.x: fix ReplayProcessor backpressure and NotificationLite emission bug * Restore coverage 	2 .[sentence: 1,-1] x[2]:fix ReplayProcessor backpressure and NotificationLite emission bug[-2](#5493 )*2 .[sentence: 2,-2] x[2]:fix ReplayProcessor backpressure and NotificationLite emission bug[-2]*Restore coverage [sentence: 2,-2] [result: max + and - of any sentence]
2	-2	2.x: attempt to fix a few time-sensitive tests. (#5421) * 2.x: attempt to fix a few time-sensitive tests. * Add more time to a merge test, always cancel 	2 .[sentence: 1,-1] x[2]:attempt to fix a few time -sensitive tests .[sentence: 2,-1] (#5421 )*2 .[sentence: 1,-1] x[2]:attempt to fix a few time -sensitive tests .[sentence: 2,-1] *Add more time to a merge test ,always cancel[-2][sentence: 1,-2] [result: max + and - of any sentence]
2	-1	2.x: add tryOnError to create/XEmitter API (#5344) * 2.x: add tryOnError to create/XEmitter API * Fix indentation. 	2 .[sentence: 1,-1] x[2]:add tryOnError to create /XEmitter API (#5344 )*2 .[sentence: 2,-1] x[2]:add tryOnError to create /XEmitter API *Fix indentation .[sentence: 2,-1] [result: max + and - of any sentence]
2	-3	[2.x] UnicastSubject fail fast support (#5217) * [2.x] Unicast subject fail fast support * follow up: mark new factory methods experimental, remove excessive constructor, fix typos * follow up: test coverage * follow up: add @since for new methods 	[2 .[sentence: 1,-1] x[2]]UnicastSubject fail[-3]fast support[2](#5217 )*[2 .[sentence: 2,-3] x[2]]Unicast subject fail[-3]fast support[2]*follow up :mark new factory methods experimental ,remove excessive[-2]constructor ,fix typos *follow up :test coverage *follow up :add @since for new methods [sentence: 2,-3] [result: max + and - of any sentence]
2	-2	2.x: prevent tasks to self interrupt on the standard schedulers (#5207) 	2 .[sentence: 1,-1] x[2]:prevent tasks to self interrupt[-2]on the standard schedulers (#5207 )[sentence: 2,-2] [result: max + and - of any sentence]
2	-1	2.x: reflection-based parameter validator & fixes (#5187) 	2 .[sentence: 1,-1] x[2]:reflection -based parameter validator &fixes (#5187 )[sentence: 2,-1] [result: max + and - of any sentence]
2	-1	2.x: fix timed replay-like components replaying outdated items (#5140) 	2 .[sentence: 1,-1] x[2]:fix timed replay -like[2]components replaying outdated items (#5140 )[sentence: 2,-1] [result: max + and - of any sentence]
