CommitId;RefactoringType;RefactoringDetail
777dba2f7f26ba7cda4dc43453177d244b1c6331;Move Attribute;Move Attribute	private thread : Thread from class io.dropwizard.logging.TcpSocketAppenderFactoryTest to class io.dropwizard.logging.TcpServer
777dba2f7f26ba7cda4dc43453177d244b1c6331;Move Attribute;Move Attribute	private messageCount : int from class io.dropwizard.logging.TcpSocketAppenderFactoryTest to class io.dropwizard.logging.TcpServer
777dba2f7f26ba7cda4dc43453177d244b1c6331;Move Attribute;Move Attribute	private latch : CountDownLatch from class io.dropwizard.logging.TcpSocketAppenderFactoryTest to class io.dropwizard.logging.TcpServer
777dba2f7f26ba7cda4dc43453177d244b1c6331;Move Method;Move Method	private readAndVerifyData(socket Socket) : void from class io.dropwizard.logging.TcpSocketAppenderFactoryTest to private readAndVerifyData(socket Socket) : void from class io.dropwizard.logging.TcpServer
d6f73345d733c759932ce098226d4c9938c85ee8;Move Class;Move Class	io.dropwizard.testing.app.PersonResourceTest.DummyExceptionMapper moved to io.dropwizard.testing.app.ResourceTestRuleTest.DummyExceptionMapper
d6f73345d733c759932ce098226d4c9938c85ee8;Rename Class;Rename Class	io.dropwizard.testing.app.ResourceTestWithGrizzly renamed to io.dropwizard.testing.app.ResourceTestRuleWithGrizzlyTest
d6f73345d733c759932ce098226d4c9938c85ee8;Extract Method;Extract Method	public addResource(resourceSupplier Supplier<Object>) : B extracted from public addResource(resource Object) : B in class io.dropwizard.testing.common.Resource.Builder
d6f73345d733c759932ce098226d4c9938c85ee8;Extract Method;Extract Method	public addProvider(providerSupplier Supplier<Object>) : B extracted from public addProvider(provider Object) : B in class io.dropwizard.testing.common.Resource.Builder
1333f696ddb99c895e647c36be39369f1c32fa62;Extract Superclass;Extract Superclass	io.dropwizard.logging.AbstractOutputStreamAppenderFactory from classes [io.dropwizard.logging.ConsoleAppenderFactory, io.dropwizard.logging.FileAppenderFactory, io.dropwizard.logging.TcpSocketAppenderFactory, io.dropwizard.logging.UdpSocketAppenderFactory]
1333f696ddb99c895e647c36be39369f1c32fa62;Pull Up Method;Pull Up Method	public build(context LoggerContext, applicationName String, layoutFactory LayoutFactory<E>, levelFilterFactory LevelFilterFactory<E>, asyncAppenderFactory AsyncAppenderFactory<E>) : Appender<E> from class io.dropwizard.logging.ConsoleAppenderFactory to public build(context LoggerContext, applicationName String, layoutFactory LayoutFactory<E>, levelFilterFactory LevelFilterFactory<E>, asyncAppenderFactory AsyncAppenderFactory<E>) : Appender<E> from class io.dropwizard.logging.AbstractOutputStreamAppenderFactory
