sha,Positive,Negative,Final,new,total
02098f794eab19e0b97b1396e534c0cf522f5d9c,1,-1,0,0,
02098f794eab19e0b97b1396e534c0cf522f5d9c,1,-1,0,0,
fe842d2fcf13c3d8eb67ad50219f929b0989539b,1,-1,0,,
1fb416734290de78c0516d08192d136861c940ca,1,-1,0,1,
54e00ff0718f9f17ff29014eab21f35351d844f2,1,-1,0,,
9255e8c0874eeee788d270b9edf1fd6daaf4b446,1,-1,0,,
97edef84e49c39a492bde040b76478ce608be7a4,1,-1,0,,
c2c556badd1aecb61027e8b9e09ef7751a04ea7d,1,-1,0,,
6a41b7a803e4b54c55269b5d14de4d18b66d43a6,1,-1,0,10,
707f2ede5860e91200741244d59f3800292a914c,1,-1,0,3,
c664e232949bc88fa25f07640f139ebf7bda3daa,1,-1,0,,
777dba2f7f26ba7cda4dc43453177d244b1c6331,2,-1,1,,4
8c32776b2678835594b3c92b1415664bde9b2b10,2,-1,1,,
dced2e5083873dff0eb5df5a253ae5e2fe234ba9,1,-1,0,,
b302aba2bb091919cc5ff25ed00d9c6b74837ea4,1,-1,0,,
cd73006edaf278ebad172422435f1330bbf24643,1,-1,0,,
90a939ae5838361bc99447964cc7285aad9ad8d5,1,-1,0,,
11016204e37da0dbc296895f279ab92193fef9bd,1,-1,0,,
5c5aba47c64a6864b602179af3dbbb6932a1e2c5,1,-2,-1,,
8e36e0229da36813175136354d98cecef2e133a4,1,-1,0,,
93d289229b0c21960ae96dbd5f9d3a1db3c78e2b,1,-1,0,,
9e857cdacc1593ca06c98dc62126a84d3975b8a0,1,-1,0,,
ef8f478f15a2b4288d11c9b27e2871819e092659,1,-1,0,,
ee8c71be8834b96249e16e44fef06f76a6665180,1,-1,0,,
5fc2ab21c58bcc0da2c78ca41e353c69928bc777,1,-1,0,,
4d6b106255c77219fa0a98bf5d2341ebbb8ce68e,1,-2,-1,5,
2ac20bfcbdfded7b2e2959eb186d30265b43a0e4,1,-1,0,,
2a5259f40a8313a9fbc89832a157ae98ec4ad02a,1,-1,0,,
5e53c52086da5179a3d028fc719a19f1dbe72e5f,1,-1,0,,
d6f73345d733c759932ce098226d4c9938c85ee8,1,-2,-1,,4
e3056087e50c4cd75b52012143746c2d89c09ddf,1,-1,0,1,
32c6f58b16dba217eae193a10612702c5f2ed0ad,1,-1,0,,
dbfdbb2206d3df0cea370cecd248de21b8c784fe,1,-1,0,,
0a133d367f3483f8043889b3ba651d83a408fac3,1,-1,0,,
20854029af797a7b4532ba6d0a2db2de8218fda3,1,-1,0,,
1bb7142cb241d3218a80c58e2018d5ad7790c90c,1,-1,0,,
fba9bb9edb4f324cb5cabe9b1f3dda5485079e39,1,-1,0,5,
133c900db6c212de0a917425b680576016656412,1,-1,0,,
bae2527caf69e66fbe57c55dc4333fd210ca703e,1,-1,0,0,
fd7e39f65c1b1f9161ae4651e14846e9c78ea3f4,1,-1,0,,
e4793e2d5a691ffbdfd79bf4eb0efa9e233740d5,1,-1,0,,
b8c4b8b91b5c703298bd5abf8e5d4bd3072c072e,1,-1,0,0,
78855d942eab580819220d424ae41601c0489ba3,1,-1,0,,
19c4e40173837831b6073d1683f5fdb14a6d0a1c,1,-1,0,,
7707a6218aa9becc6c3a1227b274504c815a4667,4,-2,2,0,
b55fc23e02b85087a39bedc3b06a7203278d25dd,1,-1,0,0,
1f590cb251e803501efcbd71dfde67e591f8b4fc,1,-1,0,0,
fea44ab1301194a22cb925de21006fc6672ebf56,1,-1,0,43,
bb2f0ecbe572aa0028de2c52bda2234c0371c559,1,-1,0,,
1333f696ddb99c895e647c36be39369f1c32fa62,2,-1,1,,5
04c4563bd5dc6aeb8237ad5349cff05eb91fa5a8,2,-1,1,,
05581db7d00984cf218b90f883fcaf7bd2178418,1,-1,0,2,
39e6d1fb9d9a27709a302e2d61f78448bbda33eb,1,-1,0,,
458217e485ae69a1e7a575d219a64050a015dc41,1,-1,0,,
bf48b8f940eebf82c63ceb05e7957ca41a574dd0,2,-4,-2,,
109c21182e35b7b6e839759139e2b8d2ecb678c4,1,-2,-1,2,
bd07f7545feab7fa0094a5c67f7f2dcd73767f4b,2,-2,0,,1
815e043f80bd88e20bcd3d535e71fd28cdefffd1,1,-1,0,3,
1cd57de251ef28924b2eff3da8e7e1d334c804bb,1,-1,0,,
89d20c0f2791adf6a71dd97c6584d9b42595070e,1,-1,0,,
5b4ca3cc5ba01c3ba2bf351a77b66219c6b782dd,1,-1,0,,
3c5f5aa5cc27312db0bab7f4321f3df3c5a931de,1,-1,0,,
fb9cdad412e1be86cf2fff2dd9962271a113b025,1,-1,0,,
620500d526db7a8a9f64c923a2655775fb5d0d3e,1,-1,0,2,
e0b136efcaa9545fb62bf66adcf94330b71727cb,1,-2,-1,,
3b8c255d929ece588506bf8b8e754ab12a492773,1,-1,0,,
64b7926e851860c21a2a46ee1b8de5be25931602,1,-1,0,,
a4d488a91b4dd40e6f83c86b0b475bfb7eae8e4a,1,-1,0,,
4acf5338b42b6b2a3a41a4a1d7dac93d8e4a9346,1,-1,0,5,
57488729eb9e0dbf01fa83fe2f5800d238a94f61,1,-1,0,,
6822cc746386d406ab25243c4d7148eedd100b92,1,-1,0,,
e735f2cf4675ee6d9bdff3704c5d4eeb943daa7e,1,-1,0,1,
7724f2d8457feffa4f92081d24966966ba9b00c2,2,-1,1,,
45864daa19a5905aa765fb818ce3fede77bba1c7,1,-1,0,0,
6ed139aa908a0e604cd9a3df6d606689607be76f,2,-1,1,,
dd097e875114eade3133732ee591bee2bace39e9,1,-1,0,0,
6d86f8afde0a0a2480a1d7744960dd2f26103c74,1,-2,-1,,2
b8f6c8f576ddfe1b4b62377da7beb3ec8be31f6c,1,-1,0,2,
18bec95e1b79dd8f398daab0df6350426690d60e,1,-1,0,0,
3a099b3ffaef2ee7d64fe6ef26d73162c4d9accc,1,-1,0,0,
4b15f9d4c877f0cdc2a5e2e09687507809294815,1,-1,0,0,
e186699997046e0a704c63d06767ef206603c12a,2,-2,0,,
543e3cb5ecf16ae10444b74064a676f5a3b19dcf,1,-1,0,,
231c937aca0176d813fc32621c14ef3f411db62d,1,-1,0,,
b89b2223222b78b41d71fde00c31a7a0b43156b0,1,-1,0,,
3f9cf225392e988784dbbd99e770ed91729ccc58,1,-1,0,2,
