sha,Positive,Negative,Final,new
4d6b106255c77219fa0a98bf5d2341ebbb8ce68e,1,-2,-1,5
109c21182e35b7b6e839759139e2b8d2ecb678c4,1,-2,-1,2
6e5c9c5aef82fe7d25097d837854c6d0778f86c7,2,-1,1,107
9cf696f8cc4699b0131e88062c7c5dd7d7349bfa,1,-2,-1,5
d0efdc2cc08e74e39820047cedd6f0e081948e6f,2,-3,-1,5
babd4660e6ddc18a24bbcf0294161e24a1e1aecb,1,-2,-1,15
4e9b6adfd2f20a5598cf6de7faeb86820c4366f8,2,-1,1,7
bbdefb3c159ce7cfaeb20ff89dfdaa459de5417e,1,-2,-1,3
68812fa4af0896bdcfc89b01bd90433ecc1b142a,1,-2,-1,1
30f5cfe1bc9e86c12a78037400fabc509524f940,1,-2,-1,13
bb6209d053995c4b2111a0525ae231902f662edb,2,-3,-1,2
ea2f12302e6dc2c792fec0f0bd08d7927b4f42f3,2,-1,1,13
b15b6eeca32678e5685d5b6e453c17647950cc6f,1,-2,-1,15
b6097f2ee2b3714f11d7c43318b2a44f51397cc7,1,-2,-1,7
10dad0fae7a9a1aa8c1369146b8d1f4ccf9998ad,1,-2,-1,1
e6fba4c563604cc155ca9095bd781a0a1111d16b,2,-1,1,3
3034407681e1389975a87d122d75ad754e94b8e6,1,-2,-1,6
dcd521a774731a54e76fb39beac008246e440201,2,-1,1,4
1a3fc6acadb44c4e2197f6938b6e34ab108b92d5,2,-1,1,20
b99a88e489c3348fcc105e9a2b76b85bc24a9d46,2,-1,1,1
cee6955b1e9f8e31f77f4958416849d0e18b0c17,1,-2,-1,8
61cdbed6cd28954669848c686929b06d277dd84c,1,-2,-1,58
66ef230d7587fe27204e3be90f90a703ef7726ae,1,-3,-2,2
a43e4b96df5b36a8cfd795bd5fd382e40a6733b3,1,-3,-2,7
93efb8013e05664587deca34fecfbc2f00a42b92,1,-2,-1,4
e077d2cc8195673bf95a5ff86a06834fd190f83d,3,-1,2,4
e34310b2ab2fe73f68727004324330f50ecec928,3,-1,2,14
