sha,Positive,Negative,Final,total
777dba2f7f26ba7cda4dc43453177d244b1c6331,2,-1,1,4
d6f73345d733c759932ce098226d4c9938c85ee8,1,-2,-1,4
1333f696ddb99c895e647c36be39369f1c32fa62,2,-1,1,5
6d86f8afde0a0a2480a1d7744960dd2f26103c74,1,-2,-1,2
b3beebda98bfde94115546f7502153b47969470e,1,-2,-1,2
6e5c9c5aef82fe7d25097d837854c6d0778f86c7,2,-1,1,1
778ff8c969e786e750284ed28bc884b988244bce,2,-1,1,2
b6097f2ee2b3714f11d7c43318b2a44f51397cc7,1,-2,-1,3
3034407681e1389975a87d122d75ad754e94b8e6,1,-2,-1,1
cee6955b1e9f8e31f77f4958416849d0e18b0c17,1,-2,-1,1
61cdbed6cd28954669848c686929b06d277dd84c,1,-2,-1,2
6323122892048ad2681aaa46b17ffb20ad19657f,1,-4,-3,1
55ec023ac7cd1db1f03f8189b76f46a8db0c81b0,1,-2,-1,9
e34310b2ab2fe73f68727004324330f50ecec928,3,-1,2,1
d5ea8459831bc946b57d9f203174acd497f50f91,1,-2,-1,1
7590203f13fb5d728ae6de1946643e4f06361c9a,1,-2,-1,1
6b4c1ab275140a99ffd2ff8f096d2fbbcf14c2b4,1,-2,-1,1
af91f21b5c5c03696699822354767a28b6362d23,2,-3,-1,2
3539f632091197ad63ac6882c35b203b0df4d369,1,-2,-1,4
3a05b916eff4c8ae0d766827b812a3437a2efb8a,1,-3,-2,9
c913023cc5cdf8f8adcb6f2d017dd81c9903a6aa,2,-1,1,2
c88f4dd8f80a35e55a8b0602309d9bfca8a0f233,1,-3,-2,1
4110aa482fd1670bc07fe944ac724c60864146bf,1,-2,-1,3
18d1187185665eae487c5459131519e18c38b311,1,-2,-1,1
847275afd08b217bd98c633c6c7c2d1ab84b8cc0,1,-2,-1,26
8b2cb570c286ea840e449bf4a0e0470ef3599aa5,2,-1,1,1
cd3e8f664bb16ba6686ec7c4331f5950dc1b9eb0,1,-2,-1,1
8420963bb85b552995ae35dabcc2e3c9b27e47cc,3,-2,1,1
8f8fa15f733a5abdc02493cf263eeedaa540faff,2,-1,1,1
4d32287d4c928ce085ad0ee454cc94f6c148aa61,2,-1,1,1
2b774bb9465a2908701ed1f9d9b2886998549354,2,-1,1,11
3ae0231ce6817583a1e3640aa0ff9403120d5947,1,-2,-1,1
92e206f5c0e31cc3e909ce7ee8e39b38d824703f,1,-2,-1,2
bc369f786d6a1249cdc4be9c3f055c82e74bfe8d,2,-1,1,3
89a4339dc4aea931a0f902787736a6849dee86a6,1,-2,-1,4
10c2251d0d1fea41f64d0d2b4afdd524d02b7bc0,2,-1,1,6
589117816738d7338732047a4af8c2cfc9385245,1,-2,-1,2
0eab40cf2272743329e4af5d523a7e8b690ce733,1,-4,-3,2
40f599914c6c1d6e30dc65c5e2531435c1efe01d,2,-1,1,1
d4c8ca1610402fa6e61e495ac778cb49cb96531d,2,-1,1,3
429c3b6e68a1bd7773d32ef5ffc483262b2052f1,2,-1,1,6
6f176f3b2a8ae066f32ef7398eba48ad0ea0de33,1,-2,-1,6
2c281b18acb15b2a55586fb3eb4681ac71d480b5,3,-1,2,20
5d19233d7fe962e18828d9b13bf8f69c4bf1e840,2,-1,1,1
7ebe8ed8d959dddc510f823231e8ae4a401e0ba7,1,-2,-1,1
fb9825f98de195f1034cc55fb8ec2762672755f6,2,-1,1,2
6b779865aa032b632d72aff446266f14eb821339,1,-2,-1,1
6879ab221c1626e164c3048a713976eb4c857b38,1,-2,-1,1
23b865bf258919bb22fdacfca01fc8fe9bddd896,1,-2,-1,3
94257cc0dc284122df645d66c01b5c162ee0b56e,2,-1,1,5
75133372800c38304c466c16b6601f11810871b1,2,-1,1,2
a50c4b3fdd406a31910aaa63d85a78db51f5e0a5,1,-2,-1,4
322d9f489876a741fa711576fd2a826e6f4a44c6,1,-2,-1,1
3b0c0b7ee95c193fb64b61a3c41e9017914ab95f,1,-2,-1,19
5554a697002de675f0003e916050ef2017861615,1,-2,-1,37
233dec3bfb6a7069ec631da9e6bb970dd14782ce,2,-1,1,66
c51d94af1a6bbde66b2dac6b2188235ee73b1244,3,-2,1,2
2d91848d36fcd9061770f011b5c7a3aa6dd990cc,2,-1,1,1
