CommitId;RefactoringType;RefactoringDetail
c49d85bb5894bbdb4f86c461dfa4f82b1bf93e7a;Rename Method;Rename Method	public servletRegistrationBean(properties DruidStatProperties) : ServletRegistrationBean renamed to public statViewServletRegistrationBean(properties DruidStatProperties) : ServletRegistrationBean in class com.alibaba.druid.spring.boot.autoconfigure.stat.DruidStatViewServletConfiguration
c49d85bb5894bbdb4f86c461dfa4f82b1bf93e7a;Rename Method;Rename Method	public filterRegistrationBean(properties DruidStatProperties) : FilterRegistrationBean renamed to public webStatFilterRegistrationBean(properties DruidStatProperties) : FilterRegistrationBean in class com.alibaba.druid.spring.boot.autoconfigure.stat.DruidWebStatFilterConfiguration
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest_1 moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest_1
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest_2 moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest_2
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest_3 moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest_3
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest_4 moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest_4
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest_5 moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest_5
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest_6 moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest_6
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest_7 moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest_7
87ee1fa6dc8d5631c0554e7b2edc383875653555;Move Class;Move Class	com.alibaba.druid.bvt.sql.sqlserver.SQLServerCreateTableTest_8 moved to com.alibaba.druid.bvt.sql.sqlserver.createtable.SQLServerCreateTableTest_8
f046543d725d15ea0744286dad9b10440b43922f;Extract Method;Extract Method	protected parseBegin() : PGStartTransactionStatement extracted from public parseStatementListDialect(statementList List<SQLStatement>) : boolean in class com.alibaba.druid.sql.dialect.postgresql.parser.PGSQLStatementParser
6d9c176450b430fc23bb8da4c73142cafe505ad4;Extract And Move Method;Extract And Move Method	public addValue(value Object) : void extracted from protected handleCondition(expr SQLExpr, operator String, valueExprs SQLExpr[]) : void in class com.alibaba.druid.sql.visitor.SchemaStatVisitor & moved to class com.alibaba.druid.stat.TableStat.Condition
5a74b65d7393c280dad4f8b1730ec4bdfc4c51cb;Rename Class;Rename Class	com.alibaba.druid.sql.dialect.odps.ast.OdpsInsert renamed to com.alibaba.druid.sql.dialect.hive.ast.HiveInsert
2b1339c633815ec8cbdbaac88244e56fab925d78;Move Method;Move Method	protected partitionByList() : SQLPartitionByList from class com.alibaba.druid.sql.dialect.oracle.parser.OracleCreateTableParser to protected partitionByList() : SQLPartitionByList from class com.alibaba.druid.sql.dialect.oracle.parser.OracleExprParser
cd32afefd96a9bff923d252c11b437004fac1d70;Rename Class;Rename Class	com.alibaba.druid.mysql.MysqlCreateTableTest renamed to com.alibaba.druid.mysql.MysqlVarantRefTest
cd32afefd96a9bff923d252c11b437004fac1d70;Rename Method;Rename Method	public isHasSessionBefore() : boolean renamed to public isSession() : boolean in class com.alibaba.druid.sql.ast.expr.SQLVariantRefExpr
cd32afefd96a9bff923d252c11b437004fac1d70;Rename Method;Rename Method	public setHasSessionBefore(hasSessionBefore boolean) : void renamed to public setSession(session boolean) : void in class com.alibaba.druid.sql.ast.expr.SQLVariantRefExpr
cd32afefd96a9bff923d252c11b437004fac1d70;Rename Method;Rename Method	public getHasSessionBefore() : Boolean renamed to public getSession() : Boolean in class com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSetTransactionStatement
cd32afefd96a9bff923d252c11b437004fac1d70;Rename Method;Rename Method	public setHasSessionBefore(hasSessionBefore Boolean) : void renamed to public setSession(session Boolean) : void in class com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSetTransactionStatement
115810e9ea8e3cc321d6c184a2343d941584e9f1;Move Class;Move Class	com.alibaba.druid.spring.boot.autoconfigure.metadata.DruidDataSourcePoolMetadata moved to com.alibaba.druid.spring.boot.autoconfigure.actuator.metadata.DruidDataSourcePoolMetadata
115810e9ea8e3cc321d6c184a2343d941584e9f1;Move Method;Move Method	public druidDataSourcePoolMetadataProvider() : DataSourcePoolMetadataProvider from class com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure to public druidDataSourcePoolMetadataProvider() : DataSourcePoolMetadataProvider from class com.alibaba.druid.spring.boot.autoconfigure.actuator.ActuatorConfiguration
cbdfd80d6e2e315823272b85980fdf9b73493396;Rename Method;Rename Method	public test_() : void renamed to public test_xa() : void in class com.alibaba.druid.bvt.utils.MySqlUtilsTest
c62b7286714f0d6ff662d063a1481ab0c7627687;Extract Method;Extract Method	private parseIndexHintList(tableSource SQLTableSource) : void extracted from protected parseTableSourceRest(tableSource SQLTableSource) : SQLTableSource in class com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectIntoParser
c62b7286714f0d6ff662d063a1481ab0c7627687;Extract Method;Extract Method	private parseIndexHintList(tableSource SQLTableSource) : void extracted from protected primaryTableSourceRest(tableSource SQLTableSource) : SQLTableSource in class com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser
c62b7286714f0d6ff662d063a1481ab0c7627687;Extract Method;Extract Method	private parseIndexHintList(tableSource SQLTableSource) : void extracted from protected parseTableSourceRest(tableSource SQLTableSource) : SQLTableSource in class com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser
b90e175aa3c424d6f669b047953b5223a97fb1b8;Pull Up Method;Pull Up Method	public getTableOptions() : Map<String,SQLObject> from class com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlCreateTableStatement to public getTableOptions() : Map<String,SQLObject> from class com.alibaba.druid.sql.ast.statement.SQLCreateTableStatement
882470b1ce7a51a94f3525beceec91384ccd425f;Extract Method;Extract Method	protected handleFatalError(conn DruidPooledConnection, error SQLException, sql String) : void extracted from public handleConnectionException(pooledConnection DruidPooledConnection, t Throwable) : void in class com.alibaba.druid.pool.DruidDataSource
882470b1ce7a51a94f3525beceec91384ccd425f;Extract Method;Extract Method	public handleException(t Throwable, sql String) : SQLException extracted from public handleException(t Throwable) : SQLException in class com.alibaba.druid.pool.DruidPooledConnection
