CommitId;RefactoringType;RefactoringDetail
38d2f3296b722e7d84a01d31037e31fade13951c;Extract And Move Method;Extract And Move Method	package nullToEmpty(string String) : String extracted from public nullToEmpty(string String) : String in class com.google.common.base.Strings & moved to class com.google.common.base.Platform
38d2f3296b722e7d84a01d31037e31fade13951c;Extract And Move Method;Extract And Move Method	package nullToEmpty(string String) : String extracted from public nullToEmpty(string String) : String in class com.google.common.base.Strings & moved to class com.google.common.base.Platform
38d2f3296b722e7d84a01d31037e31fade13951c;Extract And Move Method;Extract And Move Method	package emptyToNull(string String) : String extracted from public emptyToNull(string String) : String in class com.google.common.base.Strings & moved to class com.google.common.base.Platform
38d2f3296b722e7d84a01d31037e31fade13951c;Extract And Move Method;Extract And Move Method	package emptyToNull(string String) : String extracted from public emptyToNull(string String) : String in class com.google.common.base.Strings & moved to class com.google.common.base.Platform
d710bd82209651d6525fef7c917ae8534327e779;Rename Method;Rename Method	package accordingTo(type Type) : TypeResolver renamed to package covariantly(contextType Type) : TypeResolver in class com.google.common.reflect.TypeResolver
d710bd82209651d6525fef7c917ae8534327e779;Extract Method;Extract Method	private getInvariantTypeResolver() : TypeResolver extracted from public resolveType(type Type) : TypeToken<?> in class com.google.common.reflect.TypeToken
d710bd82209651d6525fef7c917ae8534327e779;Rename Method;Rename Method	package accordingTo(type Type) : TypeResolver renamed to package covariantly(contextType Type) : TypeResolver in class com.google.common.reflect.TypeResolver
d710bd82209651d6525fef7c917ae8534327e779;Extract Method;Extract Method	private getInvariantTypeResolver() : TypeResolver extracted from public resolveType(type Type) : TypeToken<?> in class com.google.common.reflect.TypeToken
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Rename Method;Rename Method	public forTree_depthFirstPreOrder_tree() : void renamed to public forTree_depthFirstPreOrderIterable_tree() : void in class com.google.common.graph.TraverserTest
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public breadthFirst(startNodes Iterable<? extends N>) : Iterable<N> extracted from public breadthFirst(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.GraphTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public depthFirstPreOrder(startNodes Iterable<? extends N>) : Iterable<N> extracted from public depthFirstPreOrder(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.GraphTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public depthFirstPostOrder(startNodes Iterable<? extends N>) : Iterable<N> extracted from public depthFirstPostOrder(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.GraphTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public breadthFirst(startNodes Iterable<? extends N>) : Iterable<N> extracted from public breadthFirst(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.TreeTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public depthFirstPostOrder(startNodes Iterable<? extends N>) : Iterable<N> extracted from public depthFirstPostOrder(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.TreeTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Rename Method;Rename Method	public forTree_depthFirstPreOrder_tree() : void renamed to public forTree_depthFirstPreOrderIterable_tree() : void in class com.google.common.graph.TraverserTest
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public breadthFirst(startNodes Iterable<? extends N>) : Iterable<N> extracted from public breadthFirst(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.GraphTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public depthFirstPreOrder(startNodes Iterable<? extends N>) : Iterable<N> extracted from public depthFirstPreOrder(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.GraphTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public depthFirstPostOrder(startNodes Iterable<? extends N>) : Iterable<N> extracted from public depthFirstPostOrder(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.GraphTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public breadthFirst(startNodes Iterable<? extends N>) : Iterable<N> extracted from public breadthFirst(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.TreeTraverser
cbc53084465d3a95cdb8cbd79da21624e3086d5d;Extract Method;Extract Method	public depthFirstPostOrder(startNodes Iterable<? extends N>) : Iterable<N> extracted from public depthFirstPostOrder(startNode N) : Iterable<N> in class com.google.common.graph.Traverser.TreeTraverser
afe6ff88023693d9c825b8d619dab56276fa8885;Move Class;Move Class	com.google.common.collect.RegularImmutableMultiset.SerializedForm moved to com.google.common.collect.ImmutableMultiset.SerializedForm
afe6ff88023693d9c825b8d619dab56276fa8885;Rename Method;Rename Method	package RegularImmutableMultiset(entries Collection<? extends Entry<? extends E>>) renamed to package create(entries Collection<? extends Entry<? extends E>>) : ImmutableMultiset<E> in class com.google.common.collect.RegularImmutableMultiset
