sha,Positive,Negative,Final,new,total
9e4e0e1dbb2bdcea79c7fd2470b2ccefbdaff2ac,3,-1,2,0,
9bf6d959014abb08f6d42902c9ce252e16ac0ea4,1,-1,0,30,
a12ef6b46b26fe178021c099e3db6a8a99f5174e,1,-1,0,4,
21f4dd72d436d62a07a89f6f818370c0574854c4,1,-1,0,0,
ddaf710bedddf89bdd85c4f3cc5c767a03fc5e5e,1,-2,-1,3,
38d2f3296b722e7d84a01d31037e31fade13951c,2,-1,1,2,4
d0d5bd73d86efa5f3e4989ca589c9c7fc0b232b2,1,-3,-2,24,
4f27e367ebf5a3e6dc5bcb922c0512eeebe3431d,1,-2,-1,0,
eff86554100e0e39c1f2f148d21dfb9626d2a52b,1,-2,-1,0,
a2ce5d38d717f45c60901e618f6c3e0c0fa9a9a0,1,-1,0,2,
e50ce7e7ed79fbce1901081838c8e0f9269d4128,1,-2,-1,20,
6cd80a9443ab2d8f15c8bff60b289e3b5d94a9d0,1,-2,-1,6,
e24fddc5fff7fd36d33ea38737b6606a7e476845,1,-1,0,6,
444ff98e688b384e73d7b599b4168fed8003eb3f,1,-1,0,0,
8ec13b0cde7aaec648a429a2318ad626794ab79f,1,-1,0,0,
9b9a17535673a34a2f6aa770ca97a75bafc7a251,2,-1,1,2,
7f1defafe4155a4e14a9805cb6c14fa406b390f3,2,-2,0,0,
e47fc1636b1cab1bbe0652545cc3ea7f6d62d7b9,2,-1,1,6,
d710bd82209651d6525fef7c917ae8534327e779,1,-2,-1,56,10
cbc53084465d3a95cdb8cbd79da21624e3086d5d,1,-1,0,304,14
ea66419b6aa52678816df77caa304e617255cca5,1,-1,0,0,
45b0489d4ae7f6e71e4359eae48cb15d112d9317,1,-2,-1,3,
9ebd95a9a84a21e96bf2f077f4cc93efc14e9b86,1,-2,-1,0,
e64553ed6ca419993abfae2f0b474cbe6cf7df81,1,-1,0,,
06b08063e2dbf3386a12e5bb9be9cec6432994ae,1,-2,-1,0,
f21f6f623fb6b64c4eefd1cf4f4fdae709f983a9,1,-1,0,0,
0e6b381b484774adb0466106dade91341fda11b9,1,-1,0,0,
17ccf5c69c533ac694823829d0fa8a8a1b57f03e,1,-1,0,0,
94ff327176a098541d432a029e354a5828e6de5a,1,-1,0,0,
34ee6ec7a731ff2d4b23fedd3a10a768c2049507,1,-1,0,2,
c92686d75ac754065f298da2e342f6bc70ee8bdc,1,-1,0,23,
afe6ff88023693d9c825b8d619dab56276fa8885,2,-1,1,27,3
a98632ee83a6c4c93f4b31820437f68ddde041dd,1,-2,-1,29,8
26b09c1fd30c23bc0e48701ff7131f2de1e5fe35,1,-1,0,0,
7abf5990b29f19a7e8c458b63af73c88523e1820,1,-1,0,78,
a132ce0d0fb0307cfa0ae0b8f51b5b37dc6f4729,1,-1,0,19,
594e3b73fe99b66110920c5fd7f2a6ddb95f2e6d,1,-1,0,0,
198c384ccdb14af182fea9b484963ba6c249fb7d,1,-3,-2,2,
42361d3784e15efde9975340f411a28ffda57279,2,-2,0,0,
06395ae25fc0756503b0b4550009c66f7a354688,1,-1,0,19,1
49454c4afb0c681bb3df519bc9635170f8be82c7,2,-1,1,,
49f562c03c92ce7111f456876ca3ee34faf3d8c1,1,-1,0,0,
abd0906f6ed288671b75aa6f828a6ba904fe4477,1,-1,0,0,
11e5f8ebc8508d8313bde7a421846747ce324034,1,-1,0,0,
b928d40eb637706755def56c8e93ba859271e66e,1,-1,0,0,
9f0269fd0a43458850b5d3989bf5033d35d8679f,1,-2,-1,1,
bf1931b9d9a68e3ef7c3c1ba1c5377aaac06bb9d,2,-1,1,0,
d57a40e546cfe6daa8cdfe3fb9c5c8dafb446227,2,-1,1,0,
41fa39fa7279c8fc94c7c3bb0367e2a5068d78c7,2,-1,1,0,
f91ef6ca6dd95bd3806c8b573f54cd429abc5857,1,-1,0,20,2
7b65f8eb78c2dd31ff6f4b4bd564645b343b69fc,1,-1,0,0,
5b39c8b9fe6f52ded7edf4be8812d7a62eeeb6fa,2,-1,1,2,1
c046982d128519c5da68327b32eaa91f072c8c7e,1,-1,0,4,
39ec61e6e98065d14e12cda3bf543e7a295fbf51,1,-1,0,27,10
c8cca4a31d615444b6644fcfeb095d860254f56d,1,-1,0,2,
393066e5b5d1e34f2b8b7cce778d45a12dbe4c66,1,-1,0,2,
8be5ace4b008c0076badb1e3955ebd411111792a,2,-2,0,8,
f7d5b0f6de5568c1901b5fb0fd442330518535c9,1,-3,-2,2,18
57787964acb81ea339d70cc7478af59e9f9ba70a,1,-2,-1,0,
831db2b231dbe0b970ffb37f7fed96ea16d60967,2,-1,1,22,3
1881ceab1265aa32c39c09a6f38392772bab52e5,1,-1,0,2,
8eb3ea467668f63a78f03527adf7053d6502434d,2,-1,1,8,
b0a6cfeb6d88710ff4ca1e3d277ff6b815fb66bf,1,-1,0,,
d71d86f6513e8a96e5d9860df0592dead3587d61,1,-1,0,,
8afcda2d3cdfcf92d4d19862073b8cdf0f159f2a,1,-2,-1,0,
ce73003d8420a091fd36ca2c7c23deb6437e4fe1,1,-1,0,0,
d2d9a2947260a9e90189c66bcaeb67f0a49fcbfc,1,-2,-1,2,
a43b4aa7f43c4fad61ca20c3c6744a6f4f1b68ed,3,-2,1,22,2
7da42d206b81c8fe184f73a9314fd8ffcf565560,2,-1,1,19,2
d788bc15f0721b94f6f79f0a9063247083745a27,1,-1,0,40,
7462c09319af3e1972ef6739b612800d417aec08,2,-2,0,4,
b007d6db4ab71c5fc94623cac6eb8a90e227ff3a,1,-1,0,1,2
c911eb8cb4b010a1973640b2399206e9ac36de3e,1,-1,0,0,
d2dad01718097b54703159bd703ddaf43479b1d3,3,-2,1,284,
c0c117a04ab47f2fb380311efec97a7d9851cd6e,1,-2,-1,18,
078b85f0c64040c337f297e7e99187f642a92d88,1,-2,-1,26,17
10ccb819ae4946fe6143590e3fedaea60eaf223f,1,-1,0,2,
992116b28a806a1655a3849b4584eb265d6c2c96,1,-1,0,0,
419467f34db1a7b57dccd7c225381c1e068c157a,1,-1,0,0,
2ad712b3109854cc45aede386a0d6205930795f5,1,-1,0,0,
