CommitId;RefactoringType;RefactoringDetail
79e01e5152453d2cfa44062fe44329e4b0fcd9d8;Extract And Move Method;Extract And Move Method	public exec(runtime Runtime) : void extracted from public processTransaction(trxCap TransactionCapsule, block Block) : boolean in class org.tron.core.db.Manager & moved to class org.tron.core.db.TransactionTrace
3284f5ddf4467ab9496317c7fffb1953fa736372;Move Class;Move Class	org.tron.common.overlay.discover.node.NodeStatistics moved to org.tron.common.overlay.discover.node.statistics.NodeStatistics
154a5476477bdce389885b02ae05bbe153eebdb5;Extract Method;Extract Method	public calculateTax(duration long, limit long) : long extracted from public payTax(duration long, limit long) : long in class org.tron.core.db.StorageMarket
7e058f3cf923c6d14ae6058592497be58be416e9;Rename Method;Rename Method	private useAccountCpu(accountCapsule AccountCapsule, cpuTime long, now long) : boolean renamed to public useCpu(accountCapsule AccountCapsule, cpuTime long, now long) : boolean in class org.tron.core.db.CpuProcessor
dafa6aa4d6aa057d7203b5966c9a15f16bc8662f;Rename Class;Rename Class	org.tron.core.BandwidthTest renamed to org.tron.core.BandwidthProcessorTest
09cf0446904cf7af1c3bc7dc28b5657881fea678;Rename Parameter;Rename Parameter	isBuy : boolean to isTRX : boolean in method private exchange_to_supply(isTRX boolean, quant long) : long in class org.tron.core.db.StorageMarket
09cf0446904cf7af1c3bc7dc28b5657881fea678;Rename Variable;Rename Variable	balance : long to newBalance : long in method private exchange_to_supply(isTRX boolean, quant long) : long in class org.tron.core.db.StorageMarket
09cf0446904cf7af1c3bc7dc28b5657881fea678;Rename Parameter;Rename Parameter	isBuy : boolean to isTRX : boolean in method private exchange_from_supply(isTRX boolean, supplyQuant long) : long in class org.tron.core.db.StorageMarket
09cf0446904cf7af1c3bc7dc28b5657881fea678;Rename Parameter;Rename Parameter	isBuy : boolean to isTRX : boolean in method public exchange(from long, isTRX boolean) : long in class org.tron.core.db.StorageMarket
04d119fb08e36b821b63062bb94d99997ddff0ba;Rename Method;Rename Method	public initForCreate() : void renamed to public curCPULimitReachedBlockCPULimit() : boolean in class org.tron.common.runtime.Runtime
04d119fb08e36b821b63062bb94d99997ddff0ba;Rename Parameter;Rename Parameter	op : OpCode to opName : String in method public notEnoughCPU(opName String) : OutOfResourceException in class org.tron.common.runtime.vm.program.Program.Exception
93fbe4cbd05bd677f6e8d11e762e249b32b5401a;Rename Method;Rename Method	public saveTotalStorageFee(trx long) : void renamed to public saveTotalStorageTax(trx long) : void in class org.tron.core.db.DynamicPropertiesStore
93fbe4cbd05bd677f6e8d11e762e249b32b5401a;Rename Method;Rename Method	public getTotalStorageFee() : long renamed to public getTotalStorageTax() : long in class org.tron.core.db.DynamicPropertiesStore
