sha,Positive,Negative,Final,new,total
161aeb9da0f91094e03da299bf2befd105696077,1,-1,0,0,
8c638996fceb03458fb9058c7cd72d0e411708d5,1,-1,0,,
859f34a8ccb7059c815072a557936c3a6ede1b9e,1,-1,0,,
78b01c2db4557e0cbe0b1d153649b940bf9beb7f,1,-1,0,,
252987de051a6f1e3490ae1ebdef8b21349c53ff,1,-1,0,,
ae432fbdf545653b610c17d581c82a228d03f21f,1,-1,0,,
9dbd0b26062835abb86af4f621e0dbd62d8cad2a,1,-2,-1,18,
d3ebd8d47de15c0771de82d985c2eb3879c5f30e,1,-1,0,148,
0cf74f6e202a2282b92979ce9c8f4051595c4d9c,1,-1,0,41,
8c90b1ff5019e9b0e92a9423479e1fb773d1194d,1,-1,0,,
e70e5c94ff4a8d47c69e9d4c4eba92b70aa4683f,1,-1,0,,
7e7440d751327a6be52caf03c74417cb612d3902,1,-1,0,,
6880b6388f82ac2fc1a10091050ac958d6b52f94,1,-1,0,,
772ea595b062eb4c212b119c966b3badbb916308,1,-1,0,,
8095c9ef3cfcd84d6734b0d64cddb57c5534fcc7,1,-1,0,2,
3137180c7be1dc9ff5c71c4f4533a258cf48bc41,1,-1,0,,
cc363754b6278199bdf73f4c3eca98503879fc07,1,-1,0,,
812d78207953be66f1efba4a966e16adf5a2faa2,1,-1,0,,
d348851c1b6b73fe294e0e2c40a0757e1d33c25a,1,-1,0,5,
5501ede5adc36404f13a98e05318d214a1ded69b,1,-1,0,,
32604f14c1d26e9a83a6e9a2338b9b1a44a29dab,1,-1,0,,
a8604b6c60d741b93c5793559e463209a9193eea,1,-1,0,,
ed07f2cb5bcf70c11b74262006d041ee74c245a2,1,-1,0,,
eed540130f1ec96b1087bb897a908c69de0c72c6,1,-1,0,1,
ac08add107089ad933e8bab3fd7faf10e92ccdf4,1,-1,0,,
d96c6f91802e52d955e8202a7822cd5deb88b296,1,-1,0,27,
710301f1b9c5feef0847a3d5bf02d33276982e38,1,-2,-1,,
29c1f7dad040e8389852cf83258cd5fe4549bdf4,1,-1,0,,
9783666d38ac4f4600182c9eaa25fb894036dca4,1,-1,0,72,
2fb30f5064dde138d910dc7aeb04e9e43036c98a,1,-1,0,,
1121b0b4ad4529d4567239eb32542569fb3194ed,1,-1,0,,
12c0925e687dc0a7f1f32f02b613a6b4a50bc157,1,-1,0,,
ee9e0751d67ef89fbea55adce8ff33c9493f3031,1,-1,0,,
504e6882e9091bfa3bcd726586987c728ffcd6fb,1,-1,0,,
eeed4efca626dccbe35bb386c1c1eb3e33929d81,1,-1,0,,
d9d9923e1b561e4ff1359dc4e7a49a9adee0c68d,1,-1,0,,
79e01e5152453d2cfa44062fe44329e4b0fcd9d8,1,-1,0,,1
7c1b560d6e0529e5c8759b67ca05bb3d49eeec0e,1,-1,0,5,
5c0256087f17e89b575c9cf54b6775cb8b6c4f60,2,-1,1,,
1b6c52e1484f5adf267f7e99eda20a83b43985e3,1,-1,0,,
5f131e0ca2297b1a3ae70d9a0f0afc5c4e880c2b,1,-1,0,,
e02542d90424878ebb2f027ed09a5b850d29e600,1,-1,0,,
ab7c1f1a5ca452c4e88ab2a53e6966f7fbf4195b,1,-1,0,,
27b9041ecd246a4e9aca623b06366bcbb480ba85,1,-1,0,,
5c0042874d6219fae254911ffc3a9b8c182a70ed,1,-1,0,,
ae0075bd6d433f6bfb2ecbb74e5f380ee819dbc8,1,-1,0,,
936d21e4031a511cd326abb8014d078c8aac9ad9,1,-1,0,,
c38774c3dfe125bc507462370c78b004ed62c858,1,-1,0,,
