CommitId;RefactoringType;RefactoringDetail
596c6c0c0b27c13f2017c770ea37cd39e27e5dcf;Rename Method;Rename Method	public testMinRequestTimeout() : void renamed to public testDefaultRequestTimeout() : void in class org.apache.kafka.clients.NetworkClientTest
c19213ab4139aa1f56f89982448184a5c82f98a4;Extract Superclass;Extract Superclass	org.apache.kafka.streams.kstream.internals.graph.ProcessorGraphNode from classes [org.apache.kafka.streams.kstream.internals.graph.StatefulProcessorNode]
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Parameter;Rename Parameter	parentGraphNode : StreamsGraphNode to streamsGraphNode : StreamsGraphNode in method package AbstractStream(builder InternalStreamsBuilder, name String, sourceNodes Set<String>, streamsGraphNode StreamsGraphNode) in class org.apache.kafka.streams.kstream.internals.AbstractStream
c19213ab4139aa1f56f89982448184a5c82f98a4;Extract Method;Extract Method	package addGraphNode(parent StreamsGraphNode, child StreamsGraphNode) : void extracted from public stream(topics Collection<String>, consumed ConsumedInternal<K,V>) : KStream<K,V> in class org.apache.kafka.streams.kstream.internals.InternalStreamsBuilder
c19213ab4139aa1f56f89982448184a5c82f98a4;Extract Method;Extract Method	package addGraphNode(parent StreamsGraphNode, child StreamsGraphNode) : void extracted from public stream(topicPattern Pattern, consumed ConsumedInternal<K,V>) : KStream<K,V> in class org.apache.kafka.streams.kstream.internals.InternalStreamsBuilder
c19213ab4139aa1f56f89982448184a5c82f98a4;Extract Method;Extract Method	package addGraphNode(parent StreamsGraphNode, child StreamsGraphNode) : void extracted from public table(topic String, consumed ConsumedInternal<K,V>, materialized MaterializedInternal<K,V,KeyValueStore<Bytes,byte[]>>) : KTable<K,V> in class org.apache.kafka.streams.kstream.internals.InternalStreamsBuilder
c19213ab4139aa1f56f89982448184a5c82f98a4;Extract Method;Extract Method	package addGraphNode(parent StreamsGraphNode, child StreamsGraphNode) : void extracted from public globalTable(topic String, consumed ConsumedInternal<K,V>, materialized MaterializedInternal<K,V,KeyValueStore<Bytes,byte[]>>) : GlobalKTable<K,V> in class org.apache.kafka.streams.kstream.internals.InternalStreamsBuilder
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Method;Rename Method	private createStatefulProcessorNode(materialized MaterializedInternal<K,T,KeyValueStore<Bytes,byte[]>>, functionName String, aggregateSupplier ProcessorSupplier) : StatefulProcessorNode renamed to private getStatefulProcessorNode(materialized MaterializedInternal<K,T,KeyValueStore<Bytes,byte[]>>, functionName String, aggregateSupplier ProcessorSupplier) : StatefulProcessorNode in class org.apache.kafka.streams.kstream.internals.KGroupedTableImpl
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Variable;Rename Variable	graphNode : StatelessProcessorNode<K,V> to selectKeyMapNode : ProcessorGraphNode<K,V> in method public groupBy(selector KeyValueMapper<? super K,? super V,KR>, serialized Serialized<KR,V>) : KGroupedStream<KR,V> in class org.apache.kafka.streams.kstream.internals.KStreamImpl
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Variable;Rename Variable	thisWindow : StoreBuilder<WindowStore<K1,V1>> to thisWindowStore : StoreBuilder<WindowStore<K1,V1>> in method public join(lhs KStream<K1,V1>, other KStream<K1,V2>, joiner ValueJoiner<? super V1,? super V2,? extends R>, windows JoinWindows, joined Joined<K1,V1,V2>) : KStream<K1,R> in class org.apache.kafka.streams.kstream.internals.KStreamImpl.KStreamImplJoin
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Variable;Rename Variable	otherWindow : StoreBuilder<WindowStore<K1,V2>> to otherWindowStore : StoreBuilder<WindowStore<K1,V2>> in method public join(lhs KStream<K1,V1>, other KStream<K1,V2>, joiner ValueJoiner<? super V1,? super V2,? extends R>, windows JoinWindows, joined Joined<K1,V1,V2>) : KStream<K1,R> in class org.apache.kafka.streams.kstream.internals.KStreamImpl.KStreamImplJoin
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Method;Rename Method	public withThisJoinSide(thisJoinSide String) : KTableKTableJoinNodeBuilder<K,V1,V2,VR> renamed to public withThisJoinSideNodeName(thisJoinSide String) : KTableKTableJoinNodeBuilder<K,V1,V2,VR> in class org.apache.kafka.streams.kstream.internals.graph.KTableKTableJoinNode.KTableKTableJoinNodeBuilder
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Method;Rename Method	public withOtherJoinSide(otherJoinSide String) : KTableKTableJoinNodeBuilder<K,V1,V2,VR> renamed to public withOtherJoinSideNodeName(otherJoinSide String) : KTableKTableJoinNodeBuilder<K,V1,V2,VR> in class org.apache.kafka.streams.kstream.internals.graph.KTableKTableJoinNode.KTableKTableJoinNodeBuilder
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Method;Rename Method	public getTopicPattern() : Pattern renamed to public topicPattern() : Pattern in class org.apache.kafka.streams.kstream.internals.graph.StreamSourceNode
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Method;Rename Method	public getConsumedInternal() : ConsumedInternal<K,V> renamed to public consumedInternal() : ConsumedInternal<K,V> in class org.apache.kafka.streams.kstream.internals.graph.StreamSourceNode
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Method;Rename Method	public parentNode() : StreamsGraphNode renamed to public parentNodes() : Collection<StreamsGraphNode> in class org.apache.kafka.streams.kstream.internals.graph.StreamsGraphNode
c19213ab4139aa1f56f89982448184a5c82f98a4;Rename Method;Rename Method	public setParentNode(parentNode StreamsGraphNode) : void renamed to public addParentNode(parentNode StreamsGraphNode) : void in class org.apache.kafka.streams.kstream.internals.graph.StreamsGraphNode
c19213ab4139aa1f56f89982448184a5c82f98a4;Move Attribute;Move Attribute	private parentGraphNode : StreamsGraphNode from class org.apache.kafka.streams.kstream.internals.AbstractStream to class org.apache.kafka.streams.kstream.internals.KStreamImpl.KStreamImplJoin
c19213ab4139aa1f56f89982448184a5c82f98a4;Move Attribute;Move Attribute	private parentGraphNode : StreamsGraphNode from class org.apache.kafka.streams.kstream.internals.AbstractStream to class org.apache.kafka.streams.kstream.internals.KStreamImpl.KStreamImplJoin
c19213ab4139aa1f56f89982448184a5c82f98a4;Move Attribute;Move Attribute	private parentGraphNode : StreamsGraphNode from class org.apache.kafka.streams.kstream.internals.AbstractStream to class org.apache.kafka.streams.kstream.internals.KStreamImpl.KStreamImplJoin
c19213ab4139aa1f56f89982448184a5c82f98a4;Move Method;Move Method	package keySerde() : Serde<K> from class org.apache.kafka.streams.kstream.internals.graph.StreamSinkNode to public keySerde() : Serde<K> from class org.apache.kafka.streams.kstream.internals.graph.StreamSourceNode
c19213ab4139aa1f56f89982448184a5c82f98a4;Move Method;Move Method	package valueSerde() : Serde<V> from class org.apache.kafka.streams.kstream.internals.graph.StreamSinkNode to public valueSerde() : Serde<V> from class org.apache.kafka.streams.kstream.internals.graph.StreamSourceNode
c19213ab4139aa1f56f89982448184a5c82f98a4;Pull Up Method;Pull Up Method	package isGlobalKTableJoin() : boolean from class org.apache.kafka.streams.kstream.internals.graph.StreamTableJoinNode to public hasWrittenToTopology() : boolean from class org.apache.kafka.streams.kstream.internals.graph.StreamsGraphNode
c19213ab4139aa1f56f89982448184a5c82f98a4;Pull Up Method;Pull Up Method	public setGlobalKTableJoin(globalKTableJoin boolean) : void from class org.apache.kafka.streams.kstream.internals.graph.StreamTableJoinNode to public setHasWrittenToTopology(hasWrittenToTopology boolean) : void from class org.apache.kafka.streams.kstream.internals.graph.StreamsGraphNode
814fbe0feabea0f78b690f44ee99b61b07ea7dd2;Rename Method;Rename Method	public shouldLoadSegementsWithOldStyleDateFormattedName() : void renamed to public shouldLoadSegmentsWithOldStyleDateFormattedName() : void in class org.apache.kafka.streams.state.internals.RocksDBSegmentedBytesStoreTest
814fbe0feabea0f78b690f44ee99b61b07ea7dd2;Rename Method;Rename Method	public shouldLoadSegementsWithOldStyleColonFormattedName() : void renamed to public shouldLoadSegmentsWithOldStyleColonFormattedName() : void in class org.apache.kafka.streams.state.internals.RocksDBSegmentedBytesStoreTest
e09d6d796f5a0b840519021d7f6435c65f88a60a;Extract Method;Extract Method	public build(props Properties) : Topology extracted from public build() : Topology in class org.apache.kafka.streams.StreamsBuilder
c8c3a7dc48dc1ec6220798294da123bb617a6cd7;Extract Variable;Extract Variable	partition : TopicPartition in method private startRestoration(initialized Set<TopicPartition>, active RestoringTasks) : void from class org.apache.kafka.streams.processor.internals.StoreChangelogReader
7fc7136ffd28245629f00870fc7f7cbe1fe1c6ce;Rename Parameter;Rename Parameter	now : long to createdMs : long in method public ProducerBatch(tp TopicPartition, recordsBuilder MemoryRecordsBuilder, createdMs long) in class org.apache.kafka.clients.producer.internals.ProducerBatch
7fc7136ffd28245629f00870fc7f7cbe1fe1c6ce;Rename Parameter;Rename Parameter	now : long to createdMs : long in method public ProducerBatch(tp TopicPartition, recordsBuilder MemoryRecordsBuilder, createdMs long, isSplitBatch boolean) in class org.apache.kafka.clients.producer.internals.ProducerBatch
7fc7136ffd28245629f00870fc7f7cbe1fe1c6ce;Extract Method;Extract Method	private drainBatchesForOneNode(cluster Cluster, node Node, maxSize int, now long) : List<ProducerBatch> extracted from public drain(cluster Cluster, nodes Set<Node>, maxSize int, now long) : Map<Integer,List<ProducerBatch>> in class org.apache.kafka.clients.producer.internals.RecordAccumulator
7fc7136ffd28245629f00870fc7f7cbe1fe1c6ce;Rename Method;Rename Method	public testLargeLingerOldNowExpire() : void renamed to public testBatchExpiration() : void in class org.apache.kafka.clients.producer.internals.ProducerBatchTest
7fc7136ffd28245629f00870fc7f7cbe1fe1c6ce;Rename Method;Rename Method	public testLargeRetryBackoffOldNowExpire() : void renamed to public testBatchExpirationAfterReenqueue() : void in class org.apache.kafka.clients.producer.internals.ProducerBatchTest
7fc7136ffd28245629f00870fc7f7cbe1fe1c6ce;Extract Method;Extract Method	private setupWithTransactionState(transactionManager TransactionManager, guaranteeOrder boolean, customPool BufferPool) : void extracted from private setupWithTransactionState(transactionManager TransactionManager) : void in class org.apache.kafka.clients.producer.internals.SenderTest
ee0c2cee214b3d46f83562467bb1e4f5165f172c;Rename Variable;Rename Variable	timeout : long to timeoutMs : long in method private close(timeout long, timeUnit TimeUnit, swallowException boolean) : void in class org.apache.kafka.clients.producer.KafkaProducer
82f124ae30116b2b7d45878aaeb9699b6bdf1c30;Rename Variable;Rename Variable	versionProbingFlag : AtomicBoolean to assignmentErrorCode : AtomicInteger in method public create(builder InternalTopologyBuilder, config StreamsConfig, clientSupplier KafkaClientSupplier, adminClient AdminClient, processId UUID, clientId String, metrics Metrics, time Time, streamsMetadataState StreamsMetadataState, cacheSizeBytes long, stateDirectory StateDirectory, userStateRestoreListener StateRestoreListener) : StreamThread in class org.apache.kafka.streams.processor.internals.StreamThread
82f124ae30116b2b7d45878aaeb9699b6bdf1c30;Rename Parameter;Rename Parameter	versionProbingFlag : AtomicBoolean to assignmentErrorCode : AtomicInteger in method public StreamThread(time Time, config StreamsConfig, producer Producer<byte[],byte[]>, restoreConsumer Consumer<byte[],byte[]>, consumer Consumer<byte[],byte[]>, originalReset String, taskManager TaskManager, streamsMetrics StreamsMetricsThreadImpl, builder InternalTopologyBuilder, threadClientId String, logContext LogContext, assignmentErrorCode AtomicInteger) in class org.apache.kafka.streams.processor.internals.StreamThread
82f124ae30116b2b7d45878aaeb9699b6bdf1c30;Rename Variable;Rename Variable	o2 : Object to ai : Object in method public configure(configs Map<String,?>) : void in class org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor
82f124ae30116b2b7d45878aaeb9699b6bdf1c30;Rename Method;Rename Method	protected getVersionThreeByteLength(endPointBytes byte[]) : int renamed to protected getVersionThreeAndFourByteLength(endPointBytes byte[]) : int in class org.apache.kafka.streams.processor.internals.assignment.SubscriptionInfo
