sha,Positive,Negative,Final,new,total
b083ed66b9988a15b01b7359370e4bf82e28059f,2,-1,1,0,
b083ed66b9988a15b01b7359370e4bf82e28059f,2,-1,1,2,
70d882861e1bf3eb503c84a31834e8b628de2df9,1,-1,0,1,
596c6c0c0b27c13f2017c770ea37cd39e27e5dcf,1,-2,-1,0,1
ac79d4904797aad99b9481b4e34789402b259664,1,-1,0,2,
530d951cbd47e7d27d5e687881f3dffe8b880377,1,-1,0,,
c19213ab4139aa1f56f89982448184a5c82f98a4,1,-1,0,20,23
c3e7c0bcb258061568294c0d96b62fea94ef8ee7,1,-1,0,0,
aa4879129770798f0e2cee385ab848b64dbe9498,1,-1,0,2,
814fbe0feabea0f78b690f44ee99b61b07ea7dd2,1,-1,0,1,2
e09d6d796f5a0b840519021d7f6435c65f88a60a,1,-1,0,0,1
96bc0b882d0c51d9b58c9f87654e6d133fd9ef34,1,-1,0,,
495c78db6f0d0d3fe111ea49f8041b5b3e32a8a4,1,-1,0,1,
08a4cda34e7535ead76d2a65826ff9e09b8bdd4f,2,-1,1,1,
c8c3a7dc48dc1ec6220798294da123bb617a6cd7,1,-2,-1,1,1
a61594dee143ba089300546d1994b875a16ba521,2,-2,0,,
061885e9f1675221f31ce47cfb0e59eb5748b9c7,1,-2,-1,5,
a932520135d42c7d9731064d96c21ab2fc5de696,3,-2,1,2,
42af41d5fc991c392b75396352903b4d919da5d3,1,-1,0,0,
7fc7136ffd28245629f00870fc7f7cbe1fe1c6ce,1,-1,0,57,6
1d9a427225c64e7629a4eb2e2d129d5551185049,2,-1,1,1,
487b95454233e981a65c184c7f3b86adf34058ef,1,-1,0,1,
c83ecf4c55a2dbbb89c71080c601417adb8b699c,1,-2,-1,4,
52c5b5f1118f3571c6c981c16c02484ada0b28c4,1,-1,0,,
4b60ed3247f0931731904c49dc7381b8eaac88d8,1,-2,-1,0,
5db2f9903a1e1d9fe574730e89aec0022333db71,2,-2,0,,
9a7f29c1ede9f1ece67b73d2d6497d60f38fb62a,1,-2,-1,,
d11f6f26b773343246c217f498de3c02916bec6c,1,-2,-1,11,
591954e2e55e0c262bf029f4b8f17566dcae6818,1,-1,0,,
b9b70c95a2cfdf01379f053c65e393bfc4ed7f37,2,-1,1,,
ee0c2cee214b3d46f83562467bb1e4f5165f172c,1,-1,0,0,1
f9cdadfdcf64b95afe21590884594eb3b11043f8,1,-1,0,,
5d2bf6328e1c5b054017419cf4de562dc8a3ec7a,1,-2,-1,2,
9449f055c7a0b340a8d69d7365c5817464b2f6ed,1,-1,0,,
0b5fd99ecb2672b74cf970c15a3959c5a1571d6f,2,-2,0,,
c5a4d5cb91e690a740ab9761e78791d5075ea150,1,-1,0,,
75825caee4eba332808fe9bb8575920b01d99af4,1,-1,0,1,
bf237fa7c576bd141d78fdea9f17f65ea269c290,1,-1,0,,
9089fb2d8255b9ea08e083c39c1ec3fe37d78082,1,-2,-1,,
980b725bb09ee42469534bf50d01118ce650880a,1,-2,-1,0,
be02dbe287f94064fd15b40df1d455342cb512c6,1,-1,0,0,
80b55309d1090b0bb45d571c5f6114461f6cb041,2,-2,0,,
82f124ae30116b2b7d45878aaeb9699b6bdf1c30,1,-2,-1,20,6
96c53e96b8834c550e6db54b2748c08e545f9150,1,-1,0,7,
284b46b7ce8520792a337b721762721817628b3f,1,-1,0,19,3
2f6240ac944f2a55ece50a179b79f4e2ee63a621,1,-2,-1,2,4
10a0b8a6baad201227281a34ce80748beddd0739,1,-1,0,,
3205989d585c3939254911ee0757eeaaeb15ae27,1,-2,-1,,
