CommitId;RefactoringType;RefactoringDetail
52e66b453810b5bad66c8d03d839d753baa48652;Rename Method;Rename Method	public getStrategy(mockFeatures Class<?>) : ClassLoadingStrategy<ClassLoader> renamed to public resolveStrategy(mockedType Class<?>, classLoader ClassLoader, codegen boolean) : ClassLoadingStrategy<ClassLoader> in class org.mockito.android.internal.creation.AndroidLoadingStrategy
ff3a60c62d02282a4a71f5ef9353b7750faac78b;Extract Method;Extract Method	public processAnnotationForMock(annotation Mock, type Class<?>, name String) : Object extracted from public process(annotation Mock, field Field) : Object in class org.mockito.internal.configuration.MockAnnotationProcessor
92a3e07e2b31c2b13e3cd072c15ee9feb28f505d;Rename Method;Rename Method	public shouldReportWithLastInvocationStackTrace() : void renamed to public shouldReportAllInvocationsStackTrace() : void in class org.mockito.internal.verification.checkers.NumberOfInvocationsCheckerTest
92a3e07e2b31c2b13e3cd072c15ee9feb28f505d;Rename Method;Rename Method	public shouldReportWithFirstUndesiredInvocationStackTrace() : void renamed to public shouldReportWithAllInvocationsStackTrace() : void in class org.mockito.internal.verification.checkers.NumberOfInvocationsCheckerTest
92a3e07e2b31c2b13e3cd072c15ee9feb28f505d;Rename Method;Rename Method	public shouldReportWithLastInvocationStackTrace() : void renamed to public shouldReportWithAllInvocationsStackTrace() : void in class org.mockito.internal.verification.checkers.NumberOfInvocationsInOrderCheckerTest
920d98660702c2b43db6fde521b1284f16414ba2;Move Class;Move Class	org.mockitousage.bugs.NPEWhenCustomExceptionStackTraceReturnNullTest.NullStackTraceException moved to org.mockitousage.bugs.FillInStackTraceScenariosTest.NullStackTraceException
8c50c17878c6cf06849ecbd05c7e8e76ff54f06c;Inline Method;Inline Method	private abortNullExceptionType() : OngoingStubbing<T> inlined to public thenThrow(throwableType Class<? extends Throwable>) : OngoingStubbing<T> in class org.mockito.internal.stubbing.BaseStubbing
8ca3cf60e846530e9b5e01b8e0c75c11eb133407;Extract Method;Extract Method	private createMethodInvocation() : Invocation extracted from public should_raise_wanted_throwable() : void in class org.mockito.internal.stubbing.answers.ThrowsExceptionTest
8ca3cf60e846530e9b5e01b8e0c75c11eb133407;Extract Method;Extract Method	private createMethodInvocation() : Invocation extracted from public should_throw_mock_exception_without_stacktrace() : void in class org.mockito.internal.stubbing.answers.ThrowsExceptionTest
8ca3cf60e846530e9b5e01b8e0c75c11eb133407;Extract Method;Extract Method	private createMethodInvocation() : Invocation extracted from public should_fill_in_exception_stacktrace() : void in class org.mockito.internal.stubbing.answers.ThrowsExceptionTest
8ca3cf60e846530e9b5e01b8e0c75c11eb133407;Extract Method;Extract Method	private createMethodInvocation() : Invocation extracted from public should_pass_proper_checked_exception() : void in class org.mockito.internal.stubbing.answers.ThrowsExceptionTest
8ca3cf60e846530e9b5e01b8e0c75c11eb133407;Extract Method;Extract Method	private createMethodInvocation() : Invocation extracted from public should_fail_invalid_checked_exception() : void in class org.mockito.internal.stubbing.answers.ThrowsExceptionTest
8ca3cf60e846530e9b5e01b8e0c75c11eb133407;Extract Method;Extract Method	private createMethodInvocation() : Invocation extracted from public should_pass_RuntimeExceptions() : void in class org.mockito.internal.stubbing.answers.ThrowsExceptionTest
aafe27f22382732380a7b79fd250c615b8d7ca03;Extract Method;Extract Method	private abortNullExceptionType() : OngoingStubbing<T> extracted from public thenThrow(throwableType Class<? extends Throwable>) : OngoingStubbing<T> in class org.mockito.internal.stubbing.BaseStubbing
5738366c738107f096d26fda30d15e2a0dabff84;Move Class;Move Class	org.mockito.internal.creation.bytebuddy.MockReference moved to org.mockito.internal.invocation.mockref.MockReference
5738366c738107f096d26fda30d15e2a0dabff84;Move Class;Move Class	org.mockito.internal.creation.bytebuddy.MockStrongReference moved to org.mockito.internal.invocation.mockref.MockStrongReference
5738366c738107f096d26fda30d15e2a0dabff84;Move Class;Move Class	org.mockito.internal.creation.bytebuddy.MockWeakReference moved to org.mockito.internal.invocation.mockref.MockWeakReference
5738366c738107f096d26fda30d15e2a0dabff84;Move Class;Move Class	org.mockito.internal.creation.bytebuddy.MockWeakReferenceTest moved to org.mockito.internal.invocation.mockref.MockWeakReferenceTest
a6d7382ec23f84f421b4c628f28d16ff870ec3ad;Rename Class;Rename Class	org.mockito.internal.creation.bytebuddy.SerializableStrongReference renamed to org.mockito.internal.creation.bytebuddy.MockStrongReference
a6d7382ec23f84f421b4c628f28d16ff870ec3ad;Rename Class;Rename Class	org.mockito.internal.creation.bytebuddy.SerializeableWeakReference renamed to org.mockito.internal.creation.bytebuddy.MockWeakReference
a6d7382ec23f84f421b4c628f28d16ff870ec3ad;Rename Class;Rename Class	org.mockito.internal.creation.bytebuddy.SerializableReference renamed to org.mockito.internal.creation.bytebuddy.MockReference
a6d7382ec23f84f421b4c628f28d16ff870ec3ad;Rename Class;Rename Class	org.mockito.internal.creation.bytebuddy.SerializeableWeakReferenceTest renamed to org.mockito.internal.creation.bytebuddy.MockWeakReferenceTest
3452a18eb55f22a98bd5100c586d69ad31a7faf2;Rename Method;Rename Method	public returnA() : String renamed to public getStuff() : String in class org.mockitoinline.StressTest.TestClass
5cf7549de3221c45d929f81e59ca5bdbbdbb2d7a;Rename Method;Rename Method	public getStrictness() : Strictness renamed to public isLenient() : boolean in class org.mockito.internal.creation.settings.CreationSettings
b6b735a52f12aea00d1f4869902142ff4210cbb4;Rename Class;Rename Class	org.mockitousage.strictness.StrictnessPerStubbingWithRuleTest renamed to org.mockitousage.strictness.StrictnessWithRulesTest
8380c7a52007999eaddb5b6db2166d3a43515c9b;Rename Method;Rename Method	package getStrictness() : Strictness renamed to package getStubbingStrictness() : Strictness in class org.mockito.internal.stubbing.DoAnswerStyleStubbing
efeeba62bfd3baf9016c1181f24229ea97cace76;Rename Method;Rename Method	package isEmpty() : boolean renamed to package isSet() : boolean in class org.mockito.internal.stubbing.DoAnswerStyleStubbing
ae54fe58b456a364b486e9b6d4a1a34c2a0091c0;Extract Interface;Extract Interface	org.mockito.stubbing.BaseStubber from classes [org.mockito.stubbing.Stubber]
ae54fe58b456a364b486e9b6d4a1a34c2a0091c0;Extract Method;Extract Method	private createStubber(lenient boolean) : Stubber extracted from public stubber() : Stubber in class org.mockito.internal.MockitoCore
679172a35ca8fb5aa2b8869af654b71688c7f60b;Move Class;Move Class	org.mockito.internal.creation.bytebuddy.InterceptedInvocation moved to org.mockito.internal.invocation.InterceptedInvocation
