CommitId;RefactoringType;RefactoringDetail
f60d08fd32b7287f65077f99a88bac645834098f;Rename Method;Rename Method	public testShadingNativeLibs() : void renamed to private testShading0(classname String) : void in class io.netty.testsuite.shading.ShadingIT
53b2dea3f48a4f24606877b9bb12b04592fe2794;Extract Method;Extract Method	package doBeginRead() : void extracted from public beginRead() : void in class io.netty.handler.codec.http2.Http2MultiplexCodec.DefaultHttp2StreamChannel.Http2ChannelUnsafe
53b2dea3f48a4f24606877b9bb12b04592fe2794;Extract Method;Extract Method	private streamActiveAndWriteHeaders(stream Http2FrameStream, maxReads AtomicInteger, contextConsumer Consumer<ChannelHandlerContext>) : LastInboundHandler extracted from private streamActiveAndWriteHeaders(stream Http2FrameStream) : LastInboundHandler in class io.netty.handler.codec.http2.Http2MultiplexCodecTest
53b2dea3f48a4f24606877b9bb12b04592fe2794;Extract And Move Method;Extract And Move Method	package readEOS() : void extracted from package streamClosed() : void in class io.netty.handler.codec.http2.Http2MultiplexCodec.DefaultHttp2StreamChannel & moved to class io.netty.handler.codec.http2.Http2MultiplexCodec.DefaultHttp2StreamChannel.Http2ChannelUnsafe
53b2dea3f48a4f24606877b9bb12b04592fe2794;Extract And Move Method;Extract And Move Method	package notifyReadComplete(allocHandle Handle) : void extracted from package fireChildReadComplete() : void in class io.netty.handler.codec.http2.Http2MultiplexCodec.DefaultHttp2StreamChannel & moved to class io.netty.handler.codec.http2.Http2MultiplexCodec.DefaultHttp2StreamChannel.Http2ChannelUnsafe
952eeb8e1e3706b09d4d3f32f16d7f0e5c540cb5;Move Class;Move Class	io.netty.channel.nio.NioDatagramChannelTest moved to io.netty.channel.socket.nio.NioDatagramChannelTest
952eeb8e1e3706b09d4d3f32f16d7f0e5c540cb5;Move Class;Move Class	io.netty.channel.nio.NioSocketChannelTest moved to io.netty.channel.socket.nio.NioSocketChannelTest
952eeb8e1e3706b09d4d3f32f16d7f0e5c540cb5;Extract Superclass;Extract Superclass	io.netty.channel.socket.nio.AbstractNioChannelTest from classes [io.netty.channel.socket.nio.NioDatagramChannelTest, io.netty.channel.socket.nio.NioServerSocketChannelTest, io.netty.channel.socket.nio.NioSocketChannelTest]
a137291ad161c970259d9a5d7cc206c026f08ee7;Extract Method;Extract Method	package buildKeyManagerFactory(ks KeyStore, keyAlgorithm String, keyPasswordChars char[], kmf KeyManagerFactory) : KeyManagerFactory extracted from package buildKeyManagerFactory(certChainFile X509Certificate[], keyAlgorithm String, key PrivateKey, keyPassword String, kmf KeyManagerFactory) : KeyManagerFactory in class io.netty.handler.ssl.SslContext
cda4f88ca247d3a028deed52e6024cbf5a880b12;Rename Method;Rename Method	public channelRead(ctx ChannelHandlerContext, msg Object) : void renamed to public channelRead0(ctx ChannelHandlerContext, msg HttpObject) : void in class io.netty.example.http.helloworld.HttpHelloWorldServerHandler
804d8434dc7026d8ae9df1a3a2431fd3034c2594;Extract Method;Extract Method	private closeStreamsGreaterThanLastKnownStreamId(lastKnownStream int, endpoint DefaultEndpoint<?>) : void extracted from public goAwayReceived(lastKnownStream int, errorCode long, debugData ByteBuf) : void in class io.netty.handler.codec.http2.DefaultHttp2Connection
804d8434dc7026d8ae9df1a3a2431fd3034c2594;Extract Method;Extract Method	private closeStreamsGreaterThanLastKnownStreamId(lastKnownStream int, endpoint DefaultEndpoint<?>) : void extracted from public goAwaySent(lastKnownStream int, errorCode long, debugData ByteBuf) : void in class io.netty.handler.codec.http2.DefaultHttp2Connection
804d8434dc7026d8ae9df1a3a2431fd3034c2594;Rename Method;Rename Method	public goAwayReceivedShouldDisallowCreation() : void renamed to public goAwayReceivedShouldAllowRemoteCreation() : void in class io.netty.handler.codec.http2.DefaultHttp2ConnectionTest
ecc238bea5987fb7e71710230c923ab6a6dba37a;Extract Method;Extract Method	private isEndPointVerificationEnabled(endPointIdentificationAlgorithm String) : boolean extracted from public setSSLParameters(sslParameters SSLParameters) : void in class io.netty.handler.ssl.ReferenceCountedOpenSslEngine
05e5ab1ecb98963604d686c1f59b2196cf73e244;Rename Method;Rename Method	package cleanArray() : IovArray renamed to package cleanIovArray() : IovArray in class io.netty.channel.epoll.EpollEventLoop
f164759ea3095bea97dc4fe297782b919baaa7c9;Rename Variable;Rename Variable	obj : Object to b : ByteBuf in method private findComponent(index int) : Component in class io.netty.buffer.FixedCompositeByteBuf
f164759ea3095bea97dc4fe297782b919baaa7c9;Extract Method;Extract Method	private wrappedUnmodifiableBuffer(copy boolean, buffers ByteBuf[]) : ByteBuf extracted from public unmodifiableBuffer(buffers ByteBuf[]) : ByteBuf in class io.netty.buffer.Unpooled
8f01259833a2323da6968b09162854600443ac4d;Extract And Move Method;Extract And Move Method	public finish() : void extracted from public decode(streamId int, in ByteBuf, headers Http2Headers, validateHeaders boolean) : void in class io.netty.handler.codec.http2.HpackDecoder & moved to class io.netty.handler.codec.http2.HpackDecoder.Http2HeadersSink
0337ecdcc87ae19b9f329eeffefa336354c1d0a0;Rename Parameter;Rename Parameter	keyManager : X509KeyManager to provider : OpenSslKeyMaterialProvider in method package OpenSslKeyMaterialManager(provider OpenSslKeyMaterialProvider) in class io.netty.handler.ssl.OpenSslKeyMaterialManager
0337ecdcc87ae19b9f329eeffefa336354c1d0a0;Move Attribute;Move Attribute	private keyManager : X509KeyManager from class io.netty.handler.ssl.OpenSslKeyMaterialManager to class io.netty.handler.ssl.OpenSslKeyMaterialProvider
0337ecdcc87ae19b9f329eeffefa336354c1d0a0;Move Attribute;Move Attribute	private password : String from class io.netty.handler.ssl.OpenSslKeyMaterialManager to class io.netty.handler.ssl.OpenSslKeyMaterialProvider
0337ecdcc87ae19b9f329eeffefa336354c1d0a0;Extract And Move Method;Extract And Move Method	package providerFor(factory KeyManagerFactory, password String) : OpenSslKeyMaterialProvider extracted from package newSessionContext(thiz ReferenceCountedOpenSslContext, ctx long, engineMap OpenSslEngineMap, trustCertCollection X509Certificate[], trustManagerFactory TrustManagerFactory, keyCertChain X509Certificate[], key PrivateKey, keyPassword String, keyManagerFactory KeyManagerFactory) : OpenSslSessionContext in class io.netty.handler.ssl.ReferenceCountedOpenSslClientContext & moved to class io.netty.handler.ssl.ReferenceCountedOpenSslContext
0337ecdcc87ae19b9f329eeffefa336354c1d0a0;Extract And Move Method;Extract And Move Method	package providerFor(factory KeyManagerFactory, password String) : OpenSslKeyMaterialProvider extracted from package newSessionContext(thiz ReferenceCountedOpenSslContext, ctx long, engineMap OpenSslEngineMap, trustCertCollection X509Certificate[], trustManagerFactory TrustManagerFactory, keyCertChain X509Certificate[], key PrivateKey, keyPassword String, keyManagerFactory KeyManagerFactory) : ServerContext in class io.netty.handler.ssl.ReferenceCountedOpenSslServerContext & moved to class io.netty.handler.ssl.ReferenceCountedOpenSslContext
c7c8e6a3ec4294f34c3788e9a8b0ce809b75ca61;Extract Method;Extract Method	private fireChannelInactiveAndDeregister(promise ChannelPromise, fireChannelInactive boolean) : void extracted from public deregister(promise ChannelPromise) : void in class io.netty.handler.codec.http2.Http2MultiplexCodec.DefaultHttp2StreamChannel.Http2ChannelUnsafe
d133bf06a487cfa7378725dcff92e39e10633e8a;Extract Method;Extract Method	private validateScheduled0(amount long, unit TimeUnit) : void extracted from public schedule(command Runnable, delay long, unit TimeUnit) : ScheduledFuture<?> in class io.netty.util.concurrent.AbstractScheduledEventExecutor
d133bf06a487cfa7378725dcff92e39e10633e8a;Extract Method;Extract Method	private validateScheduled0(amount long, unit TimeUnit) : void extracted from public schedule(callable Callable<V>, delay long, unit TimeUnit) : ScheduledFuture<V> in class io.netty.util.concurrent.AbstractScheduledEventExecutor
d133bf06a487cfa7378725dcff92e39e10633e8a;Extract Method;Extract Method	private validateScheduled0(amount long, unit TimeUnit) : void extracted from public scheduleAtFixedRate(command Runnable, initialDelay long, period long, unit TimeUnit) : ScheduledFuture<?> in class io.netty.util.concurrent.AbstractScheduledEventExecutor
d133bf06a487cfa7378725dcff92e39e10633e8a;Extract Method;Extract Method	private validateScheduled0(amount long, unit TimeUnit) : void extracted from public scheduleWithFixedDelay(command Runnable, initialDelay long, delay long, unit TimeUnit) : ScheduledFuture<?> in class io.netty.util.concurrent.AbstractScheduledEventExecutor
d133bf06a487cfa7378725dcff92e39e10633e8a;Rename Method;Rename Method	public testScheduleBigDelay() : void renamed to public testScheduleBigDelayNotOverflow() : void in class io.netty.channel.epoll.EpollEventLoopTest
d133bf06a487cfa7378725dcff92e39e10633e8a;Rename Method;Rename Method	public testScheduleBigDelay() : void renamed to public testScheduleBigDelayNotOverflow() : void in class io.netty.channel.kqueue.KQueueEventLoopTest
d133bf06a487cfa7378725dcff92e39e10633e8a;Rename Method;Rename Method	public testScheduleBigDelay() : void renamed to public testScheduleBigDelayNotOverflow() : void in class io.netty.channel.nio.NioEventLoopTest
