sha,Positive,Negative,Final,new,total
630c82717dd8d822323c9e4a8ad51ea4f8a38f86,1,-2,-1,0,
630c82717dd8d822323c9e4a8ad51ea4f8a38f86,1,-2,-1,1,
f60d08fd32b7287f65077f99a88bac645834098f,1,-1,0,1,1
fcb19cb58944c2db0ed1c76dc7762ca78e819376,1,-1,0,,
ff785fbe39152bd78c0bb45dcc882e3ce0af33fc,1,-1,0,,
53b2dea3f48a4f24606877b9bb12b04592fe2794,3,-2,1,21,4
620dad0c2602440f2c457a5cb2a4c7a29e786bda,1,-1,0,3,
9b08dbca00ffdcb37ec0be2100d868c7c2dd72b9,2,-2,0,8,
0dc71cee3a50fbcae534c815d6c5a5cd57d81845,1,-1,0,1,
952eeb8e1e3706b09d4d3f32f16d7f0e5c540cb5,1,-2,-1,8,3
77ec8397927e3ceb9b9a447a74e718f625ed9976,1,-1,0,,
d67d639f5f4de11f32dc15abcd0e18bad5a24a21,1,-1,0,4,
38d5ae93aacd284b437fab777f75e474da1267f8,1,-1,0,,
b4dbdc203658b5c2390d9e3177e586b67d3880aa,1,-1,0,,
1c16519ac86d9ef9919ac96afbee4be9b428d0c9,1,-1,0,,
df08467d7c3589a83411bb99e1e347b666c5241f,1,-2,-1,1,
8186c9aaeab240dfe500eb2d313467283522288b,1,-1,0,1,
93d2807ff0eb6d886a4da8fc52a97ea7bbc056b5,1,-2,-1,1,
301e22eafb659a09be23b47ca158c731da0b0f6f,1,-2,-1,0,
cf713d03685feadeca382988c11dfdfe85c54c9a,1,-1,0,0,
4b9125f9610ad7a108dc16f5e41da0ad8a044080,1,-2,-1,0,
7bb9e7eafe67eef252ef4c66db3e6e34fbaf069e,1,-1,0,,
8ca5421bd2925b944a65a2377a68cdb575fc0733,1,-1,0,,
a137291ad161c970259d9a5d7cc206c026f08ee7,1,-2,-1,10,1
6afab517b04e4aaf0c70e68e3b2888c06129197c,1,-3,-2,0,
092073893201d515eb2ee375849efae7cc9065db,1,-4,-3,0,
cda4f88ca247d3a028deed52e6024cbf5a880b12,1,-1,0,0,1
fef462c04333950201ddbfd505c0af730a0c2ffd,1,-1,0,1,
