sha,Positive,Negative,Final,new,total
9b44404b9f7845ea6c4c56eea7ba71525b4e8ad0,1,-1,0,0,
9b44404b9f7845ea6c4c56eea7ba71525b4e8ad0,1,-1,0,4,
3481424632b7a0ad27b1999ec9fe8c7e7e236d43,2,-1,1,0,
54c281a3d106da4f3bcf2f59271b1c9034683a60,1,-1,0,0,
2770e4dd0ee663f66af4c198daa10367d6c2478b,1,-2,-1,0,
1706fe1e2fbe2ef12a8d8c12ce8e2c3a43e48b3c,2,-1,1,0,
5bd4ac2ccb25be1248dd71ff31a39b7e63884c05,1,-1,0,,
995a6f54d2c1c08363bfdf027a80d4fa753e64a9,1,-1,0,0,
5c58f826364ded0895d96413273d5456bc04f3c6,1,-1,0,2,
b0298abff608e3e8fc7afe9041d44361064686d8,1,-1,0,,
0fe6e55489aea9fd58ed1760b8fed206a8f842ca,2,-2,0,6,
63572c792182f0c2446ceeb3262d843f28558459,1,-2,-1,,
fd472650c011f6d73ad7570f99a2b793748f6179,2,-2,0,,
f363ef0e0e39720672f2b9ca129aa26eea8d5e70,1,-1,0,3,
88aa8540fef43326628dbdd758043f689390fa2d,2,-1,1,0,
3a098c5e67274246b0b62018f0b92fd49b028359,1,-1,0,,
f671b57b11845af04cc110792550ecc4f5464712,2,-1,1,0,
8a6bf14fc9a61f7c1c0016ca217be02ca86211d2,2,-2,0,23,3
e25ab2441e13c7ec34eb6f868ea61a57846f7b6f,2,-2,0,29,2
a5d99b726a0efa530b0e8578bcd8dacd0b0b11aa,2,-1,1,35,
4bc516c066487818f7796b1e5cd57a3b582c832c,2,-1,1,245,1
90bca55c39fcc515013f2737e2f6fb6cbd2e660b,2,-1,1,68,
ab520503925bc9cdff47d6a4ceaf8b2209b61250,2,-1,1,630,1041
5f4daa9e6894c7aa8be3ed144dc95ad25bd5c962,2,-1,1,1,
7646371a4960be54f015467a628dca6010026773,2,-1,1,26,
4e50ea491b88680244e41af153c0efce2fecbfc9,2,-1,1,9,
7bdcb594806db8dce8a5ed1ad8f149269905731f,2,-1,1,2,
