sha,Positive,Negative,Final,new,total
b20a3a109716515ce09ff15b471e9cadb0d3e590,1,-1,0,0,
b20a3a109716515ce09ff15b471e9cadb0d3e590,1,-1,0,25,
460a317e6ac767716d9f6cf518e259548e4567b8,1,-1,0,24,
5a44224fd98cbc5741b610b88c458a4fecb6eccb,1,-1,0,0,
0bf46b81a2c72a623f35f4129aef75b584b10846,1,-1,0,56,
266c285533417e968f36a2c61fff750618e4c733,1,-1,0,11,
a81bd92cefdeb4f15f1cacdd85fdcd0f94ede4c8,1,-1,0,18,
2e1949b898898c5664057f6ca1b1024091caa9b5,1,-1,0,3,6
1a443a6c63a049185bb3e4db40948d77fb2e124d,1,-1,0,,
90e6d2e19b987a9e34c845a70aba67fd774f9d1f,1,-1,0,,1
8572fa32135fbf3fe05507e78085aa99ca7021cd,1,-1,0,,10
ad40040852bf47baf73412d0a6850d4fa75fa122,1,-1,0,7,
5a8e4a755e111342d17bed87157a986c901d41ce,1,-1,0,13,
30eeb0982836d69c294fd35b051d00ff98da805b,1,-1,0,1,
8db0635841f38b33e8034367a6da77578731eb0b,1,-1,0,,
6fadb8bdefec048898d151cd12fbf99e45457d28,1,-1,0,,
19fb7ef5a2158f80110403a68bbd9dab054a1a01,1,-1,0,19,
b34473ebbb7a86fd59eb8a70828405ac3d9912c1,1,-1,0,27,
2ed8ad2e00a632f6fbfca4ee0b7320733431d36f,1,-1,0,70,
5ce4bd458a1d6b69e1f2d868d18ccfe2f74f931c,1,-1,0,,
b3064e448e46032415549621954a3603b31b5044,1,-1,0,,
323f5bf370ee2f13a18a5808956500be8d72fd22,1,-1,0,,
75a6a413566af4f8acd99c8ca8589b7c927c6347,1,-1,0,,
bed25cd0daa38a14f921ce294c25914ff17327c3,1,-1,0,,
3cc84f5446eca97a92546dc713ce2ef0941e270c,1,-1,0,,
15e5d5fa1f100f46627fa107fbbf7852fe9f2ceb,1,-1,0,,
db10f66e60e5e9b5b47dcebaaf0696c8ef742c36,1,-1,0,,
6549e41afaec4efa2a86c9c4097c5ba28e71b48b,1,-1,0,17,
48b8d2c8a5c60ea3a43e1e3dc2304358dd363e78,1,-1,0,32,
5b00f0e0e36fec05b281e17e84a755ac97dea5ec,1,-1,0,0,
1de8475a99a8010cdaee3d88994254d1331adcbd,1,-1,0,3,
757f63446707ac945694517fc8bd7c4771799a28,1,-1,0,11,
